FIRE_NO,FIRE_YEAR,RSPNS_TYPC,IGN_DATE,FR_T_DTE,FIRESTATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCDNT_NM,GEO_DESC,LATITUDE,LONGITUDE,SIZE_HA,FIRE_URL,FCODE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
G81530,2023,Monitor,20230710204036,,Under Control,Lightning,4,8,1530,Fire,2023 Holdover MILLIGAN HILLS,Milligan Hills,57.429,-120.2001,6108.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G81530,JA70003000,,15036528,1347560.2379999992,1396525.6049999995
G91534,2023,Monitor,20230710230214,,Under Control,Lightning,4,9,1534,Fire,2023 Holdover G91534,Sahdoanah Creek,59.4272,-121.0306,32257.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91534,JA70003000,,15036529,1282268.6097999993,1614766.4946000013
G41560,2023,Modified,20230711145431,,Under Control,Lightning,4,4,1560,Fire,2023 Holdover G41560,Turff Lake,53.4541,-124.2051,1144.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41560,JA70003000,,15036530,1118915.8498999998,940201.3931000046
G51564,2023,Full,20230710150500,,Under Control,Lightning,4,5,1564,Fire,2023 Holdover Whitefish Lake,SW Whitefish Lake,54.5447,-125.033,6143.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51564,JA70003000,,15036531,1062410.6942999999,1060835.599799999
G41569,2023,Full,20230711164048,,Under Control,Lightning,4,4,1569,Fire,2023 Holdover G41569,Nulki Hills,53.675,-124.3337,801.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41569,JA70003000,,15036532,1109815.182800001,964634.5351000009
G41593,2023,Monitor,20230712112301,,Under Control,Lightning,4,4,1593,Fire,2023 Holdover G41593,Knewstubb Lake,53.4824,-125.035,29.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41593,JA70003000,,15036533,1063895.5982000013,942287.1208999995
G51614,2023,Monitor,20230712161512,,Under Control,Lightning,4,5,1614,Fire,2023 Holdover G51614,Kwanika Creek,55.5544,-125.1275,5.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51614,JA70003000,,15036534,1054919.9745999998,1173453.9202000005
G91722,2023,Monitor,20230715105551,,Under Control,Lightning,4,9,1722,Fire,2023 Holdover G91722,Capot-Blanc Creek,59.4356,-123.7345,42,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91722,JA70003000,,15036535,1128741.0719000008,1607847.9151999997
G91741,2023,Monitor,20230715171952,,Under Control,Lightning,4,9,1741,Fire,2023 Holdover G91741,Patry Rd,59.4346,-123.6702,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91741,JA70003000,,15036536,1132394.5927000009,1607851.5761000006
G91739,2023,Monitor,20230715171717,,Under Control,Lightning,4,9,1739,Fire,2023 Holdover G91739,Patry Creek,59.4203,-123.6556,33425.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91739,JA70003000,,15036537,1133275.4751999998,1606294.7382000023
G51755,2023,Full,20230715213300,,Under Control,Lightning,4,5,1755,Fire,2023 Holdover Rubyrock,North Arm Stuart Lake,54.6306,-125.1299,122,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51755,JA70003000,,15036538,1056035.204299999,1070341.9963000007
G81934,2023,Monitor,20230720125350,,Under Control,Unknown,4,8,1934,Fire,2023 Holdover PWF-093,PWF-093,57.981,-120.004,23.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G81934,JA70003000,,15036539,1354078.9962000004,1458822.0198000032
G91933,2023,Monitor,20230720125124,,Under Control,Unknown,4,9,1933,Fire,2023 Holdover HWF-130,HWF-130,59.463,-120.0004,2272,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91933,JA70003000,,15036540,1340322.4450999997,1623267.026699997
